Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2932;Leipzig/Halle;PM;03.09.1949;04.09.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;07.09.1949;07.09.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;11.09.1949;11.09.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;13.09.1949;14.09.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.09.1949;22.09.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;24.09.1949;29.09.1949;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;02.10.1949;02.10.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;04.10.1949;05.10.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;08.10.1949;08.10.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;10.10.1949;10.10.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.10.1949;12.10.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.10.1949;19.10.1949;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;21.10.1949;28.10.1949;8;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;31.10.1949;31.10.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;04.11.1949;06.11.1949;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;09.11.1949;10.11.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.11.1949;16.11.1949;5;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;18.11.1949;19.11.1949;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.11.1949;29.11.1949;8;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;01.12.1949;08.12.1949;8;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;10.12.1949;10.12.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;12.12.1949;12.12.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;14.12.1949;18.12.1949;5;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;20.12.1949;20.12.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;22.12.1949;22.12.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;24.12.1949;29.12.1949;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;31.12.1949;31.12.1949;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;02.01.1950;03.01.1950;2;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;05.01.1950;05.01.1950;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;07.01.1950;12.01.1950;6;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;15.01.1950;18.01.1950;4;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;24.01.1950;24.01.1950;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;26.01.1950;26.01.1950;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;29.01.1950;29.01.1950;1;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;31.01.1950;10.02.1950;11;;eor;                                                                                                                                                    
2932;Leipzig/Halle;PM;12.02.1950;14.02.1950;3;;eor;                                                                                                                                                     
2932;Leipzig/Halle;PM;16.02.1950;16.02.1950;1;;eor;                                                                                                                                                     
